#chr	start	end	startCpG	endCpG	target	region	lenCpG	bp	tg_mean	bg_mean	delta_means	delta_quants	delta_maxmin	ttest	direction
chr17	64369029	64369214	23789747	23789753	Pancreas-Duct	chr17:64369029-64369214	6CpGs	185bp	0.213	0.861	0.647	0.292	0.118	4.84e-22	U
chr12	92418062	92418930	18568377	18568383	Pancreas-Duct	chr12:92418062-92418930	6CpGs	868bp	0.27	0.855	0.585	0.253	0.118	2.88e-21	U
chr2	96483493	96483808	3282028	3282034	Megakaryocytes	chr2:96483493-96483808	6CpGs	315bp	0.237	0.952	0.715	0.656	0.634	1.34e-312	U
chr5	94568462	94569060	8545969	8545981	Megakaryocytes	chr5:94568462-94569060	12CpGs	598bp	0.0408	0.912	0.872	0.714	0.596	4.75e-246	U
chr2	49229752	49229816	2881677	2881683	Megakaryocytes	chr2:49229752-49229816	6CpGs	64bp	0.0949	0.939	0.844	0.719	0.591	8.86e-271	U
chr2	127771346	127771741	3586257	3586262	Megakaryocytes	chr2:127771346-127771741	5CpGs	395bp	0.0698	0.941	0.872	0.728	0.582	6.7e-265	U
chr22	31463641	31463978	27508459	27508476	Megakaryocytes	chr22:31463641-31463978	17CpGs	337bp	0.0309	0.937	0.907	0.752	0.58	2e-262	U
chr17	82155229	82155349	24088447	24088461	Megakaryocytes	chr17:82155229-82155349	14CpGs	120bp	0.208	0.936	0.728	0.65	0.565	7.47e-288	U
chr16	3138374	3138510	21827041	21827053	Megakaryocytes	chr16:3138374-3138510	12CpGs	136bp	0.0345	0.854	0.82	0.669	0.549	2.77e-220	U
chr3	153154954	153155182	5853507	5853526	Megakaryocytes	chr3:153154954-153155182	19CpGs	228bp	0.33	0.955	0.626	0.592	0.53	4.94e-324	U
chr17	1321365	1321794	22903332	22903344	Megakaryocytes	chr17:1321365-1321794	12CpGs	429bp	0.143	0.927	0.784	0.701	0.529	6.15e-272	U
chr17	22530282	22530549	23233155	23233161	Megakaryocytes	chr17:22530282-22530549	6CpGs	267bp	0.0837	0.892	0.808	0.644	0.519	2.93e-232	U
chr3	122395161	122395494	5583008	5583013	Megakaryocytes	chr3:122395161-122395494	5CpGs	333bp	0.156	0.93	0.774	0.68	0.512	9.36e-250	U
chr2	130274639	130275244	3616476	3616485	Megakaryocytes	chr2:130274639-130275244	9CpGs	605bp	0.0715	0.89	0.819	0.596	0.508	5.91e-219	U
chr7	129607187	129607746	12093616	12093622	Megakaryocytes	chr7:129607187-129607746	6CpGs	559bp	0.217	0.922	0.706	0.572	0.508	1.14e-241	U
chr1	26295324	26295681	460229	460242	Megakaryocytes	chr1:26295324-26295681	13CpGs	357bp	0.203	0.924	0.722	0.58	0.508	8.1e-249	U
chr20	57358656	57358983	26616230	26616241	Megakaryocytes	chr20:57358656-57358983	11CpGs	327bp	0.172	0.92	0.749	0.652	0.503	2.42e-256	U
chr5	100045811	100046164	8582603	8582612	Megakaryocytes	chr5:100045811-100046164	9CpGs	353bp	0.0543	0.883	0.829	0.593	0.498	6.05e-218	U
chr17	22530832	22531030	23233163	23233168	Megakaryocytes	chr17:22530832-22531030	5CpGs	198bp	0.0387	0.865	0.826	0.601	0.497	5.28e-220	U
chr10	16815205	16815386	15248440	15248447	Megakaryocytes	chr10:16815205-16815386	7CpGs	181bp	0.132	0.942	0.81	0.731	0.496	1.07e-263	U
chr19	5043506	5043763	25040783	25040796	Megakaryocytes	chr19:5043506-5043763	13CpGs	257bp	0.378	0.96	0.582	0.534	0.495	8.71e-320	U
chrX	55181567	55181713	28372725	28372731	Megakaryocytes	chrX:55181567-55181713	6CpGs	146bp	0.0415	0.817	0.776	0.59	0.494	3.69e-192	U
chr19	16518939	16519255	25274969	25274989	Megakaryocytes	chr19:16518939-16519255	20CpGs	316bp	0.326	0.918	0.592	0.53	0.492	1.8e-273	U
chr3	100284677	100285459	5434628	5434635	Megakaryocytes	chr3:100284677-100285459	7CpGs	782bp	0.362	0.942	0.579	0.535	0.489	5.52e-295	U
chr5	94567529	94567915	8545948	8545956	Megakaryocytes	chr5:94567529-94567915	8CpGs	386bp	0.0397	0.908	0.868	0.674	0.486	1.83e-227	U
chr2	155263568	155263646	3798384	3798390	Megakaryocytes	chr2:155263568-155263646	6CpGs	78bp	0.0434	0.904	0.861	0.693	0.486	1.45e-233	U
chr5	171893071	171893507	9157653	9157661	Megakaryocytes	chr5:171893071-171893507	8CpGs	436bp	0.318	0.937	0.619	0.532	0.481	4.24e-262	U
chr2	69932996	69933178	3044809	3044816	Megakaryocytes	chr2:69932996-69933178	7CpGs	182bp	0.303	0.941	0.638	0.556	0.479	2.06e-275	U
chr6	16215997	16216042	9495853	9495858	Megakaryocytes	chr6:16215997-16216042	5CpGs	45bp	0.176	0.929	0.752	0.598	0.478	5.45e-240	U
chr10	893583	894117	15055576	15055585	Megakaryocytes	chr10:893583-894117	9CpGs	534bp	0.341	0.943	0.602	0.552	0.476	7.17e-290	U
chr4	56150818	56151066	6789616	6789621	Megakaryocytes	chr4:56150818-56151066	5CpGs	248bp	0.235	0.928	0.693	0.56	0.463	1.76e-244	U
chr6	157671301	157672016	10650585	10650599	Megakaryocytes	chr6:157671301-157672016	14CpGs	715bp	0.253	0.92	0.666	0.53	0.459	8.38e-235	U
chr22	29788844	29789240	27484279	27484297	Megakaryocytes	chr22:29788844-29789240	18CpGs	396bp	0.376	0.934	0.558	0.483	0.455	2.67e-264	U
chr14	73299642	73299959	20413799	20413804	Megakaryocytes	chr14:73299642-73299959	5CpGs	317bp	0.328	0.949	0.621	0.565	0.45	6.08e-279	U
chr2	47224127	47224659	2862637	2862645	Megakaryocytes	chr2:47224127-47224659	8CpGs	532bp	0.205	0.937	0.732	0.618	0.449	2.39e-243	U
chr17	22527161	22527357	23233089	23233095	Megakaryocytes	chr17:22527161-22527357	6CpGs	196bp	0.144	0.871	0.726	0.558	0.446	1.03e-214	U
chr11	70411174	70411229	17178276	17178282	Megakaryocytes	chr11:70411174-70411229	6CpGs	55bp	0.239	0.929	0.69	0.554	0.442	7.04e-227	U
chr5	100054553	100054901	8582784	8582791	Megakaryocytes	chr5:100054553-100054901	7CpGs	348bp	0.0519	0.892	0.84	0.582	0.437	5.11e-209	U
chrX	55180931	55181379	28372714	28372723	Megakaryocytes	chrX:55180931-55181379	9CpGs	448bp	0.223	0.908	0.685	0.558	0.435	1.24e-233	U
chr15	48396500	48396740	21147461	21147466	Megakaryocytes	chr15:48396500-48396740	5CpGs	240bp	0.179	0.926	0.748	0.599	0.431	1.35e-225	U
chr16	28983069	28984130	22167845	22167877	Megakaryocytes	chr16:28983069-28984130	32CpGs	1061bp	0.339	0.925	0.586	0.518	0.43	5.25e-262	U
chr14	35366086	35366200	20103884	20103890	Megakaryocytes	chr14:35366086-35366200	6CpGs	114bp	0.178	0.911	0.733	0.548	0.428	1.64e-217	U
chr7	592314	592968	10839507	10839535	Megakaryocytes	chr7:592314-592968	28CpGs	654bp	0.336	0.94	0.604	0.503	0.425	4.41e-262	U
chr10	132590198	132590312	16392187	16392194	Megakaryocytes	chr10:132590198-132590312	7CpGs	114bp	0.278	0.945	0.668	0.599	0.425	2.48e-268	U
chr19	47754698	47755106	25771498	25771518	Megakaryocytes	chr19:47754698-47755106	20CpGs	408bp	0.289	0.904	0.615	0.46	0.425	9.09e-212	U
chr12	57343251	57343491	18336030	18336042	Megakaryocytes	chr12:57343251-57343491	12CpGs	240bp	0.337	0.948	0.611	0.544	0.422	3.01e-276	U
chr17	22527920	22528115	23233104	23233110	Megakaryocytes	chr17:22527920-22528115	6CpGs	195bp	0.0933	0.868	0.775	0.559	0.421	4.69e-207	U
chr2	106846086	106846210	3390805	3390812	Megakaryocytes	chr2:106846086-106846210	7CpGs	124bp	0.268	0.928	0.66	0.533	0.42	9.17e-239	U
chr6	89794694	89795339	10137155	10137164	Megakaryocytes	chr6:89794694-89795339	9CpGs	645bp	0.205	0.88	0.676	0.486	0.417	1.97e-208	U
chr8	109389588	109389820	13432080	13432089	Megakaryocytes	chr8:109389588-109389820	9CpGs	232bp	0.2	0.909	0.709	0.551	0.417	1.17e-230	U
chr20	36960057	36960183	26374341	26374349	Megakaryocytes	chr20:36960057-36960183	8CpGs	126bp	0.0971	0.887	0.79	0.585	0.415	1.09e-207	U
chr5	177515733	177515781	9237827	9237832	Megakaryocytes	chr5:177515733-177515781	5CpGs	48bp	0.137	0.898	0.761	0.573	0.413	1.11e-209	U
chr4	155464139	155464410	7455134	7455141	Megakaryocytes	chr4:155464139-155464410	7CpGs	271bp	0.126	0.886	0.761	0.544	0.413	3.9e-207	U
chr18	76367528	76368055	24804215	24804227	Megakaryocytes	chr18:76367528-76368055	12CpGs	527bp	0.25	0.919	0.669	0.473	0.411	1.74e-211	U
chr9	69066259	69066893	14238108	14238119	Megakaryocytes	chr9:69066259-69066893	11CpGs	634bp	0.395	0.934	0.539	0.484	0.407	7.74e-267	U
chr16	85402124	85402258	22750631	22750640	Megakaryocytes	chr16:85402124-85402258	9CpGs	134bp	0.255	0.931	0.675	0.61	0.407	3.92e-261	U
chr4	83298203	83298399	6969754	6969759	Megakaryocytes	chr4:83298203-83298399	5CpGs	196bp	0.0357	0.87	0.835	0.613	0.405	1.31e-190	U
chr1	172113408	172113561	1676302	1676309	Megakaryocytes	chr1:172113408-172113561	7CpGs	153bp	0.2	0.933	0.733	0.551	0.404	3.76e-229	U
chr1	23017252	23017390	409631	409645	Megakaryocytes	chr1:23017252-23017390	14CpGs	138bp	0.387	0.923	0.536	0.474	0.404	9.86e-252	U
chr13	23865587	23865820	19175143	19175148	Megakaryocytes	chr13:23865587-23865820	5CpGs	233bp	0.205	0.93	0.725	0.502	0.404	4.41e-213	U
chr16	11051586	11051844	21937768	21937776	Megakaryocytes	chr16:11051586-11051844	8CpGs	258bp	0.361	0.932	0.571	0.481	0.397	1.4e-245	U
chr14	61483897	61484149	20300758	20300766	Megakaryocytes	chr14:61483897-61484149	8CpGs	252bp	0.197	0.937	0.74	0.581	0.397	5.8e-241	U
chr2	106145298	106145719	3383177	3383188	Megakaryocytes	chr2:106145298-106145719	11CpGs	421bp	0.281	0.916	0.636	0.493	0.397	7e-223	U
chr18	69469643	69469760	24742237	24742246	Megakaryocytes	chr18:69469643-69469760	9CpGs	117bp	0.31	0.91	0.599	0.503	0.396	3.5e-237	U
chr2	33114473	33115328	2732863	2732869	Megakaryocytes	chr2:33114473-33115328	6CpGs	855bp	0.3	0.905	0.605	0.445	0.393	1.26e-215	U
chr18	57550688	57550773	24645493	24645498	Megakaryocytes	chr18:57550688-57550773	5CpGs	85bp	0.304	0.927	0.622	0.503	0.393	5.95e-229	U
chr5	160027013	160027425	9060772	9060778	Megakaryocytes	chr5:160027013-160027425	6CpGs	412bp	0.333	0.932	0.599	0.44	0.393	4.57e-230	U
chr5	74682074	74682231	8401154	8401165	Megakaryocytes	chr5:74682074-74682231	11CpGs	157bp	0.26	0.918	0.658	0.461	0.39	1.99e-209	U
chr18	59896579	59896800	24672799	24672804	Megakaryocytes	chr18:59896579-59896800	5CpGs	221bp	0.205	0.871	0.667	0.492	0.39	3.06e-197	U
chr7	149847859	149847987	12290824	12290831	Megakaryocytes	chr7:149847859-149847987	7CpGs	128bp	0.134	0.887	0.753	0.511	0.388	2.07e-200	U
chr11	103408247	103408741	17445092	17445101	Megakaryocytes	chr11:103408247-103408741	9CpGs	494bp	0.156	0.921	0.765	0.681	0.387	4.68e-241	U
chr7	130832913	130833145	12108837	12108846	Megakaryocytes	chr7:130832913-130833145	9CpGs	232bp	0.269	0.887	0.618	0.463	0.386	3.78e-218	U
chr4	73990988	73991400	6899307	6899315	Megakaryocytes	chr4:73990988-73991400	8CpGs	412bp	0.137	0.892	0.755	0.57	0.381	9.86e-203	U
chr14	92456054	92456151	20591909	20591914	Megakaryocytes	chr14:92456054-92456151	5CpGs	97bp	0.314	0.888	0.574	0.461	0.38	1.48e-209	U
chr17	22531177	22531272	23233169	23233174	Megakaryocytes	chr17:22531177-22531272	5CpGs	95bp	0.205	0.898	0.694	0.494	0.377	8.66e-213	U
chr12	125038279	125038595	18949922	18949927	Megakaryocytes	chr12:125038279-125038595	5CpGs	316bp	0.154	0.873	0.719	0.479	0.376	1.24e-193	U
chr2	222608271	222609439	4314668	4314674	Megakaryocytes	chr2:222608271-222609439	6CpGs	1168bp	0.36	0.923	0.563	0.441	0.376	6.29e-229	U
chr11	68597894	68598454	17143516	17143527	Megakaryocytes	chr11:68597894-68598454	11CpGs	560bp	0.138	0.92	0.782	0.569	0.375	2.4e-214	U
chr5	100047207	100047454	8582629	8582635	Megakaryocytes	chr5:100047207-100047454	6CpGs	247bp	0.0738	0.883	0.809	0.547	0.371	5.67e-204	U
chr5	133931701	133932047	8813707	8813716	Megakaryocytes	chr5:133931701-133932047	9CpGs	346bp	0.288	0.926	0.638	0.457	0.371	2.23e-217	U
chr3	193942814	193943011	6170403	6170408	Megakaryocytes	chr3:193942814-193943011	5CpGs	197bp	0.0278	0.876	0.848	0.502	0.367	8.63e-180	U
chr4	98877548	98878578	7072553	7072561	Megakaryocytes	chr4:98877548-98878578	8CpGs	1030bp	0.392	0.948	0.556	0.501	0.364	8.77e-266	U
chr8	140338699	140339096	13671320	13671356	Megakaryocytes	chr8:140338699-140339096	36CpGs	397bp	0.205	0.927	0.722	0.519	0.363	1.78e-216	U
chr22	42707421	42707992	27685816	27685823	Megakaryocytes	chr22:42707421-42707992	7CpGs	571bp	0.279	0.876	0.596	0.439	0.361	3.21e-194	U
chr7	151453553	151453739	12316496	12316502	Megakaryocytes	chr7:151453553-151453739	6CpGs	186bp	0.121	0.854	0.733	0.582	0.358	8.77e-201	U
chr6	166639637	166639792	10753515	10753521	Megakaryocytes	chr6:166639637-166639792	6CpGs	155bp	0.0779	0.877	0.799	0.505	0.355	1.3e-183	U
chr16	4532399	4532759	21856555	21856564	Megakaryocytes	chr16:4532399-4532759	9CpGs	360bp	0.291	0.941	0.65	0.586	0.354	1.81e-244	U
chr11	186212	186850	16429188	16429206	Megakaryocytes	chr11:186212-186850	18CpGs	638bp	0.209	0.938	0.729	0.623	0.352	1.84e-243	U
chr15	92774647	92774846	21619532	21619539	Megakaryocytes	chr15:92774647-92774846	7CpGs	199bp	0.244	0.924	0.68	0.472	0.352	1.01e-213	U
chr16	89135502	89135798	22842374	22842382	Megakaryocytes	chr16:89135502-89135798	8CpGs	296bp	0.284	0.898	0.614	0.434	0.351	6.39e-210	U
chr17	22528570	22528643	23233117	23233123	Megakaryocytes	chr17:22528570-22528643	6CpGs	73bp	0.259	0.893	0.635	0.438	0.351	4.62e-195	U
chr12	125685401	125685507	18957833	18957839	Megakaryocytes	chr12:125685401-125685507	6CpGs	106bp	0.19	0.905	0.714	0.502	0.351	1.77e-210	U
chr7	152861929	152862079	12338132	12338144	Megakaryocytes	chr7:152861929-152862079	12CpGs	150bp	0.12	0.9	0.78	0.536	0.35	2.49e-199	U
chr17	82121696	82121816	24087712	24087718	Megakaryocytes	chr17:82121696-82121816	6CpGs	120bp	0.32	0.921	0.601	0.512	0.349	1.23e-228	U
chr2	130273952	130274577	3616466	3616475	Megakaryocytes	chr2:130273952-130274577	9CpGs	625bp	0.218	0.875	0.657	0.452	0.349	2.81e-205	U
chr18	50843358	50844032	24597395	24597402	Megakaryocytes	chr18:50843358-50844032	7CpGs	674bp	0.196	0.877	0.68	0.467	0.349	8.91e-195	U
chr11	44047717	44048180	16830839	16830847	Megakaryocytes	chr11:44047717-44048180	8CpGs	463bp	0.105	0.824	0.719	0.439	0.347	9.77e-176	U
chr1	40221417	40222331	650078	650098	Megakaryocytes	chr1:40221417-40222331	20CpGs	914bp	0.33	0.94	0.61	0.468	0.343	4.07e-243	U
chr17	76477720	76477918	23950836	23950848	Megakaryocytes	chr17:76477720-76477918	12CpGs	198bp	0.368	0.923	0.555	0.459	0.342	5.93e-235	U
chr11	27758594	27759147	16713630	16713640	Megakaryocytes	chr11:27758594-27759147	10CpGs	553bp	0.225	0.9	0.675	0.523	0.34	1.4e-219	U
chr14	72671129	72671299	20404639	20404655	Megakaryocytes	chr14:72671129-72671299	16CpGs	170bp	0.358	0.921	0.563	0.481	0.34	6.19e-241	U
chr7	30120499	30121202	11169005	11169012	Megakaryocytes	chr7:30120499-30121202	7CpGs	703bp	0.339	0.919	0.58	0.471	0.339	2.35e-228	U
chr17	22519634	22519761	23232965	23232970	Megakaryocytes	chr17:22519634-22519761	5CpGs	127bp	0.0698	0.851	0.781	0.527	0.338	2.53e-197	U
chr7	101854168	101854298	11884574	11884579	Megakaryocytes	chr7:101854168-101854298	5CpGs	130bp	0.0256	0.859	0.834	0.47	0.338	3.55e-172	U
chr13	98562386	98562789	19729005	19729018	Megakaryocytes	chr13:98562386-98562789	13CpGs	403bp	0.388	0.928	0.54	0.421	0.336	4.28e-235	U
chr20	41423492	41424529	26421285	26421296	Megakaryocytes	chr20:41423492-41424529	11CpGs	1037bp	0.368	0.921	0.554	0.4	0.336	2.38e-213	U
chr6	23303200	23303249	9563401	9563408	Megakaryocytes	chr6:23303200-23303249	7CpGs	49bp	0.333	0.93	0.597	0.465	0.336	2.34e-222	U
chr18	2842037	2843016	24145538	24145546	Megakaryocytes	chr18:2842037-2843016	8CpGs	979bp	0.388	0.9	0.512	0.372	0.335	6.57e-199	U
chr17	27403352	27403650	23310528	23310533	Megakaryocytes	chr17:27403352-27403650	5CpGs	298bp	0.171	0.893	0.722	0.441	0.334	1.94e-194	U
chr3	171606741	171608038	5976923	5976928	Megakaryocytes	chr3:171606741-171608038	5CpGs	1297bp	0.263	0.896	0.633	0.449	0.334	6.99e-196	U
chr4	155464497	155465358	7455142	7455148	Megakaryocytes	chr4:155464497-155465358	6CpGs	861bp	0.283	0.894	0.611	0.456	0.333	2.85e-201	U
chr13	114055513	114055748	19912615	19912627	Megakaryocytes	chr13:114055513-114055748	12CpGs	235bp	0.241	0.912	0.671	0.538	0.331	2.05e-218	U
chr16	3790861	3791157	21840602	21840608	Megakaryocytes	chr16:3790861-3791157	6CpGs	296bp	0.171	0.873	0.702	0.404	0.33	2.05e-181	U
chr17	19601214	19601973	23190932	23190950	Megakaryocytes	chr17:19601214-19601973	18CpGs	759bp	0.339	0.937	0.598	0.497	0.329	2.06e-238	U
chr2	50588720	50588862	2889831	2889839	Megakaryocytes	chr2:50588720-50588862	8CpGs	142bp	0.302	0.924	0.622	0.448	0.328	1.62e-217	U
chr17	22531309	22531604	23233174	23233180	Megakaryocytes	chr17:22531309-22531604	6CpGs	295bp	0.103	0.811	0.708	0.422	0.328	3.19e-179	U
chr11	186898	187183	16429207	16429215	Megakaryocytes	chr11:186898-187183	8CpGs	285bp	0.262	0.919	0.657	0.534	0.327	5.65e-222	U
chr18	76357504	76357607	24804041	24804047	Megakaryocytes	chr18:76357504-76357607	6CpGs	103bp	0.344	0.91	0.566	0.41	0.327	1.46e-215	U
chrX	55181781	55181938	28372732	28372737	Megakaryocytes	chrX:55181781-55181938	5CpGs	157bp	0.24	0.88	0.641	0.483	0.327	2.59e-199	U
chr6	5424911	5425017	9382328	9382333	Megakaryocytes	chr6:5424911-5425017	5CpGs	106bp	0.0506	0.894	0.843	0.523	0.325	1.35e-183	U
chr14	89240859	89241176	20551429	20551435	Megakaryocytes	chr14:89240859-89241176	6CpGs	317bp	0.277	0.931	0.654	0.469	0.322	1.18e-205	U
chr20	36866376	36866585	26372872	26372879	Megakaryocytes	chr20:36866376-36866585	7CpGs	209bp	0.294	0.908	0.614	0.488	0.321	8.82e-218	U
chr3	195166928	195167313	6189755	6189768	Megakaryocytes	chr3:195166928-195167313	13CpGs	385bp	0.274	0.949	0.675	0.6	0.32	4.97e-248	U
chr5	133260126	133260181	8806742	8806749	Megakaryocytes	chr5:133260126-133260181	7CpGs	55bp	0.143	0.898	0.755	0.484	0.32	3.5e-187	U
chr5	176969176	176969796	9226604	9226613	Megakaryocytes	chr5:176969176-176969796	9CpGs	620bp	0.266	0.912	0.647	0.531	0.315	9.67e-222	U
chr6	129683262	129683367	10410827	10410833	Megakaryocytes	chr6:129683262-129683367	6CpGs	105bp	0.333	0.92	0.587	0.434	0.315	3.84e-207	U
chr7	1564070	1564306	10872103	10872117	Megakaryocytes	chr7:1564070-1564306	14CpGs	236bp	0.225	0.887	0.662	0.403	0.314	5.78e-178	U
chr8	89753226	89754504	13280459	13280465	Megakaryocytes	chr8:89753226-89754504	6CpGs	1278bp	0.254	0.917	0.663	0.512	0.314	5.49e-217	U
chr14	54756357	54756627	20242652	20242657	Megakaryocytes	chr14:54756357-54756627	5CpGs	270bp	0.105	0.872	0.767	0.609	0.311	6.98e-205	U
chr13	19683680	19684169	19125275	19125280	Megakaryocytes	chr13:19683680-19684169	5CpGs	489bp	0.319	0.909	0.59	0.456	0.311	1.25e-221	U
chr1	47237306	47237433	735601	735606	Megakaryocytes	chr1:47237306-47237433	5CpGs	127bp	0.087	0.841	0.754	0.452	0.311	7.31e-170	U
chr7	152765408	152766096	12336709	12336717	Megakaryocytes	chr7:152765408-152766096	8CpGs	688bp	0.125	0.86	0.735	0.404	0.311	1.15e-162	U
chr9	86299637	86300911	14376125	14376133	Megakaryocytes	chr9:86299637-86300911	8CpGs	1274bp	0.245	0.899	0.654	0.387	0.309	1.23e-189	U
chr2	1979667	1979753	2406709	2406718	Megakaryocytes	chr2:1979667-1979753	9CpGs	86bp	0.362	0.921	0.559	0.357	0.308	6.01e-199	U
chr12	5849794	5850138	17839392	17839401	Megakaryocytes	chr12:5849794-5850138	9CpGs	344bp	0.167	0.898	0.731	0.496	0.307	2.62e-201	U
chr16	85034557	85034857	22741552	22741559	Megakaryocytes	chr16:85034557-85034857	7CpGs	300bp	0.128	0.889	0.761	0.436	0.306	9.31e-190	U
chr21	42466177	42466252	27120813	27120819	Megakaryocytes	chr21:42466177-42466252	6CpGs	75bp	0.244	0.897	0.653	0.517	0.303	1.13e-204	U
chr16	84853308	84853460	22737704	22737713	Megakaryocytes	chr16:84853308-84853460	9CpGs	152bp	0.2	0.898	0.698	0.518	0.303	2.03e-205	U
chr17	27451653	27452468	23311089	23311100	Megakaryocytes	chr17:27451653-27452468	11CpGs	815bp	0.356	0.92	0.564	0.442	0.3	5.84e-220	U
chr11	11884218	11885267	16594153	16594161	Megakaryocytes	chr11:11884218-11885267	8CpGs	1049bp	0.169	0.915	0.746	0.456	0.299	2.88e-191	U
chr9	33658860	33659026	14032384	14032392	Megakaryocytes	chr9:33658860-33659026	8CpGs	166bp	0.052	0.858	0.806	0.57	0.298	1.52e-198	U
chr1	9449732	9450007	197817	197824	Megakaryocytes	chr1:9449732-9450007	7CpGs	275bp	0.116	0.851	0.735	0.399	0.298	6.12e-169	U
chr16	29009692	29010349	22168389	22168394	Megakaryocytes	chr16:29009692-29010349	5CpGs	657bp	0.194	0.834	0.64	0.465	0.297	2.45e-184	U
chr2	142645441	142645585	3715261	3715267	Megakaryocytes	chr2:142645441-142645585	6CpGs	144bp	0.0741	0.89	0.816	0.457	0.297	1.2e-187	U
chr1	199860732	199861361	1868408	1868416	Megakaryocytes	chr1:199860732-199861361	8CpGs	629bp	0.279	0.881	0.602	0.343	0.297	3.94e-167	U
chr7	74204883	74205022	11625573	11625580	Megakaryocytes	chr7:74204883-74205022	7CpGs	139bp	0.13	0.885	0.754	0.454	0.296	5.38e-185	U
chr1	113194489	113194801	1238013	1238020	Megakaryocytes	chr1:113194489-113194801	7CpGs	312bp	0.3	0.919	0.619	0.387	0.295	3.25e-196	U
chr5	100046176	100046441	8582612	8582621	Megakaryocytes	chr5:100046176-100046441	9CpGs	265bp	0.0301	0.849	0.819	0.484	0.293	4.82e-187	U
chr5	100047912	100048660	8582644	8582656	Megakaryocytes	chr5:100047912-100048660	12CpGs	748bp	0.0435	0.852	0.808	0.488	0.293	8.65e-188	U
chrX	55179742	55180925	28372708	28372714	Megakaryocytes	chrX:55179742-55180925	6CpGs	1183bp	0.213	0.84	0.627	0.414	0.292	4.41e-182	U
chr2	106846626	106846801	3390813	3390819	Megakaryocytes	chr2:106846626-106846801	6CpGs	175bp	0.296	0.917	0.622	0.417	0.291	5.8e-202	U
chr19	10305052	10305264	25148781	25148786	Megakaryocytes	chr19:10305052-10305264	5CpGs	212bp	0.103	0.88	0.777	0.395	0.29	1.17e-165	U
chrX	17044391	17044907	28034148	28034157	Megakaryocytes	chrX:17044391-17044907	9CpGs	516bp	0.25	0.844	0.594	0.39	0.29	1.46e-175	U
chr18	51098287	51098488	24599880	24599885	Megakaryocytes	chr18:51098287-51098488	5CpGs	201bp	0.269	0.9	0.631	0.38	0.289	5.57e-186	U
chr11	103404954	103405239	17445059	17445065	Megakaryocytes	chr11:103404954-103405239	6CpGs	285bp	0.35	0.935	0.585	0.514	0.288	3.29e-236	U
chr9	136472020	136472087	14985514	14985521	Megakaryocytes	chr9:136472020-136472087	7CpGs	67bp	0.0526	0.885	0.832	0.427	0.288	3.63e-182	U
chr16	88446766	88446929	22818856	22818867	Megakaryocytes	chr16:88446766-88446929	11CpGs	163bp	0.352	0.873	0.521	0.352	0.287	2.15e-177	U
chr14	65033117	65033844	20334860	20334878	Megakaryocytes	chr14:65033117-65033844	18CpGs	727bp	0.36	0.94	0.58	0.503	0.287	5.42e-230	U
chr5	100054060	100054118	8582771	8582776	Megakaryocytes	chr5:100054060-100054118	5CpGs	58bp	0.00784	0.841	0.833	0.578	0.287	1.58e-189	U
chr8	38084568	38084908	12860033	12860042	Megakaryocytes	chr8:38084568-38084908	9CpGs	340bp	0.381	0.921	0.54	0.421	0.286	6.5e-218	U
chr1	24802398	24802773	436757	436762	Megakaryocytes	chr1:24802398-24802773	5CpGs	375bp	0.346	0.91	0.564	0.374	0.285	1.63e-195	U
chr2	108590197	108591169	3404208	3404215	Megakaryocytes	chr2:108590197-108591169	7CpGs	972bp	0.156	0.895	0.739	0.468	0.285	5.77e-180	U
chr6	503785	503866	9317562	9317568	Megakaryocytes	chr6:503785-503866	6CpGs	81bp	0.179	0.916	0.737	0.411	0.284	5.96e-179	U
chr2	62397799	62397953	2981357	2981362	Megakaryocytes	chr2:62397799-62397953	5CpGs	154bp	0.339	0.906	0.567	0.412	0.284	1.36e-199	U
chr1	40757406	40757489	656670	656675	Megakaryocytes	chr1:40757406-40757489	5CpGs	83bp	0.0714	0.899	0.827	0.475	0.284	4.39e-186	U
chr18	32117254	32117605	24453179	24453184	Megakaryocytes	chr18:32117254-32117605	5CpGs	351bp	0.231	0.888	0.658	0.359	0.282	8.81e-176	U
chr13	50524038	50524436	19415177	19415182	Megakaryocytes	chr13:50524038-50524436	5CpGs	398bp	0.329	0.906	0.577	0.361	0.281	1.38e-188	U
chr2	207087487	207088196	4183438	4183444	Megakaryocytes	chr2:207087487-207088196	6CpGs	709bp	0.183	0.88	0.697	0.389	0.281	5.8e-170	U
chr17	74347798	74347877	23904938	23904946	Megakaryocytes	chr17:74347798-74347877	8CpGs	79bp	0.342	0.892	0.549	0.37	0.277	2.43e-186	U
chr8	73678077	73678287	13175802	13175807	Megakaryocytes	chr8:73678077-73678287	5CpGs	210bp	0.358	0.902	0.544	0.35	0.277	6.42e-186	U
chr6	8025248	8025702	9412848	9412853	Megakaryocytes	chr6:8025248-8025702	5CpGs	454bp	0.381	0.91	0.529	0.389	0.276	7.55e-207	U
chr12	42418124	42418261	18167584	18167592	Megakaryocytes	chr12:42418124-42418261	8CpGs	137bp	0.0789	0.922	0.843	0.629	0.274	1.99e-210	U
chr7	158725770	158726127	12434545	12434553	Megakaryocytes	chr7:158725770-158726127	8CpGs	357bp	0.328	0.91	0.582	0.469	0.274	2.18e-214	U
chr6	140873518	140873615	10501203	10501211	Megakaryocytes	chr6:140873518-140873615	8CpGs	97bp	0.385	0.94	0.555	0.448	0.273	9.76e-233	U
